event_id,session_id,timestamp,source,build_id,ship_type,mass,resistance,instability,distance,beam_count,beam_slots,beam_power_sum,required_power,effective_power,margin,risk_score,verdict,actual_outcome,is_labeled,outcome_comment
synthetic-42-00000,synthetic_seed_42,2026-05-25T12:00:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,34344.382,0.304,0.048,80.881,1,main,72.638,69.68,120.749,51.069,0.16,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00001,synthetic_seed_42,2026-05-25T12:01:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,14681.525,0.122,0.077,53.392,1,main,79.63,21.567,71.867,50.3,0.192,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00002,synthetic_seed_42,2026-05-25T12:02:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,119775.365,0.286,0.149,159.241,1,main,53.406,292.698,306.198,13.5,0.378,take,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00003,synthetic_seed_42,2026-05-25T12:03:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,26733.955,0.223,0.056,76.712,1,main,75.318,48.516,69.081,20.565,0.164,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00004,synthetic_seed_42,2026-05-25T12:04:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,66980.406,0.275,0.345,137.597,1,main,63.71,153.126,162.713,9.587,0.809,risky,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00005,synthetic_seed_42,2026-05-25T12:05:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,74112.791,0.678,0.233,117.388,1,main,54.826,238.825,245.836,7.011,0.634,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00006,synthetic_seed_42,2026-05-25T12:06:00+00:00,synthetic,mole_manual_v1,mole,54878.521,0.137,0.087,77.628,2,"main,left",127.31,88.779,132.854,44.075,0.215,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00007,synthetic_seed_42,2026-05-25T12:07:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,78946.597,0.57,0.336,44.509,1,main,99.193,187.247,205.677,18.43,0.842,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00008,synthetic_seed_42,2026-05-25T12:08:00+00:00,synthetic,mole_manual_v1,mole,20169.877,0.12,0.078,40.513,2,"main,left",170.161,28.342,74.879,46.537,0.193,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00009,synthetic_seed_42,2026-05-25T12:09:00+00:00,synthetic,mole_manual_v1,mole,69481.735,0.358,0.332,81.733,2,"main,left",185.968,150.136,164.943,14.807,0.795,risky,overheated,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00010,synthetic_seed_42,2026-05-25T12:10:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,114028.733,0.583,0.192,155.601,1,main,81.943,373.391,378.573,5.182,0.527,skip,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00011,synthetic_seed_42,2026-05-25T12:11:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,33088.808,0.181,0.04,39.482,1,main,58.778,50.526,85.006,34.48,0.12,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00012,synthetic_seed_42,2026-05-25T12:12:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,23111.502,0.523,0.149,154.596,1,main,48.897,71.543,85.227,13.684,0.421,take,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00013,synthetic_seed_42,2026-05-25T12:13:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,55496.919,0.446,0.208,124.249,1,main,88.154,147.885,115.306,-32.579,0.946,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00014,synthetic_seed_42,2026-05-25T12:14:00+00:00,synthetic,mole_manual_v1,mole,43923.367,0.536,0.118,129.944,2,"main,left",95.959,129.469,143.018,13.549,0.356,take,too_slow,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00015,synthetic_seed_42,2026-05-25T12:15:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,25739.213,0.068,0.097,91.041,1,main,62.043,38.979,56.792,17.813,0.226,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00016,synthetic_seed_42,2026-05-25T12:16:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,11065.287,0.103,0.066,96.214,1,main,60.789,17.976,64.145,46.169,0.163,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00017,synthetic_seed_42,2026-05-25T12:17:00+00:00,synthetic,mole_manual_v1,mole,21642.36,0.7,0.331,161.59,2,"main,left",183.357,79.289,95.976,16.687,0.854,risky,bad,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00018,synthetic_seed_42,2026-05-25T12:18:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,72325.58,0.812,0.202,85.641,1,main,66.473,236.736,228.624,-8.112,0.693,need_more_power,not_enough_power,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00019,synthetic_seed_42,2026-05-25T12:19:00+00:00,synthetic,mole_manual_v1,mole,50182.115,0.133,0.094,86.135,2,"main,left",173.969,82.767,122.213,39.446,0.23,take,good,True,synthetic smoke-test row; do not use as real gameplay data
synthetic-42-00020,synthetic_seed_42,2026-05-25T12:20:00+00:00,synthetic,prospector_helix_rieger_focus_v1,prospector,12507.038,0.113,0.017,86.502,1,main,60.255,20.062,43.488,23.426,0.058,take,good,True,synthetic smoke-test row; do not use as real gameplay data
